Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",ZeyL,ZyL,"C,N,S",ZeyR,-,?b,Fu,xL,Xo,r2,-,-,-,-,Taper,-,-,-,-,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,X,x10³ mm³,YL,x10³ mm³,x10³ mm³,YR,x10³ mm³,-,-,MPa,mm,mm,mm,-,-,-,-,Angle,-,-,-,-,-,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"15 x 4"" TFC 37 (GR230)",55.1,381,102,16.3,10.4,15.2,348,33.4,5.58,7020,149,782,932,146,5.81,76.1,143,28.8,460,152,247,247,1,C,932,C,106,231,N,114,-,0.5,417,25.2,51.5,4.78,-,-,-,-,5,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"12 x 3.5"" TFC 28 (GR230)",41.7,305,88.9,13.7,10.2,13.7,277,27.3,5.76,5310,70.6,463,557,115,3.26,48.6,91.5,24.8,276,54.5,247,247,1,C,557,C,73,150,C,73,-,0.5,417,21.8,43.5,3.18,-,-,-,-,5,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10 x 3.5"" TFC 24 (GR230)",35.7,254,88.9,13.6,9.14,13.7,227,24.8,5.87,4550,44.5,350,414,98.8,3.03,46.9,90,25.8,229,34.3,247,247,1,C,414,C,70.3,126,C,70.3,-,0.5,417,24.2,48.8,3.18,-,-,-,-,5,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"9 x 3"" TFC 17.5 (GR230)",26,229,76.2,11.2,7.62,12.2,206,27.1,6.15,3320,26.1,228,270,88.7,1.59,28.3,54.4,21.9,114,14.9,247,247,1,C,270,C,42.5,79.8,C,42.5,-,0.5,417,20,40.6,3.18,-,-,-,-,5,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"8 x 3"" TFC 16 (GR230)",23.8,203,76.2,11.2,7.11,12.2,181,25.4,6.2,3030,19.5,192,225,80.2,1.52,27.7,53.7,22.4,104,11.1,247,247,1,C,225,C,41.5,71.2,C,41.5,-,0.5,417,21.3,43.5,3.18,-,-,-,-,5,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"7 x 3"" TFC 14 (GR230)",20.8,178,76.2,10.3,6.6,12.2,157,23.8,6.77,2650,13.4,150,175,71,1.35,24.8,48,22.5,81.2,7.58,247,247,1,C,175,C,37.3,61.1,C,37.3,-,0.5,417,22,45,3.18,-,-,-,-,5,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"6 x 3"" TFC 12 (GR230)",17.9,152,76.2,9.02,6.35,12.2,134,21.2,7.75,2280,8.51,112,130,61.2,1.14,21.2,41.2,22.4,59.3,4.8,247,247,1,C,130,C,31.7,51.7,C,31.7,-,0.5,417,22.1,45.3,2.39,-,-,-,-,5,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5 x 2.5"" TFC 10 (GR230)",14.9,127,63.5,9.22,6.35,10.7,109,17.1,6.2,1900,4.82,76,89.4,50.4,0.676,15.3,29.3,18.9,49.1,1.85,247,247,1,C,89.4,C,23,34.8,C,23,-,0.5,417,19.4,38.7,2.39,-,-,-,-,5,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4 x 2"" TFC 7 (GR230)",10.4,102,50.8,7.62,6.1,9.14,86.4,14.2,5.87,1330,2.08,40.9,48.7,39.6,0.293,8.21,15.9,14.9,25.5,0.507,247,247,1,C,48.7,C,12.3,19.3,C,12.3,-,0.5,417,15.1,29.3,2.39,-,-,-,-,5,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3 x 1.5"" TFC 4.5 (GR230)",6.7,76.2,38.1,6.78,5.08,7.62,62.6,12.3,4.87,853,0.741,19.5,23.4,29.5,0.107,4.11,7.83,11.2,12.3,0.1,247,247,1,C,23.4,C,6.16,9,C,6.16,-,0.5,417,11.9,22.6,2.39,-,-,-,-,5,-,-,-,-,-,HR,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
