Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,Doubler,Stiffener,-,-,?b,Fu,-,-,-,-,-,-,-,Taper,-,-,-,-,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,X,x10³ mm³,Y,x10³ mm³,mm,mm,-,-,-,MPa,-,-,-,-,-,-,-,Angle,-,-,-,-,-,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
760UB244 (GR350),244,781,272,31.3,19.3,16.5,719,37.3,4.03,31100,3020,7720,8940,312,105,773,1220,58.1,7530,14800,340,340,1.000,C,8940,C,1160,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
760UB220 (GR350),220,775,270,28.3,17.4,16.5,719,41.3,4.46,28000,2700,6970,8040,310,93.1,690,1090,57.6,5590,13000,340,340,0.971,C,8040,C,1030,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
760UB197 (GR350),197,770,268,25.4,15.6,16.5,719,46.0,4.97,25100,2400,6230,7170,309,81.7,610,959,57.1,4050,11300,340,340,0.928,C,7170,C,915,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
760UB173 (GR350),173,762,267,21.6,14.3,16.5,719,50.2,5.84,22000,2050,5390,6200,305,68.5,513,807,55.7,2670,9380,340,340,0.892,C,6200,C,770,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
760UB147 (GR350),147,754,265,17.5,12.9,16.5,719,55.7,7.20,18800,1690,4480,5170,300,54.7,412,649,53.9,1610,7410,340,340,0.848,C,5170,C,618,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
690UB140 (GR350),140,684,254,19.0,12.4,15.2,646,51.9,6.36,17900,1360,3990,4560,276,51.8,408,638,53.8,1690,5720,340,340,0.885,C,4560,C,612,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
690UB125 (GR350),125,678,253,16.2,11.7,15.2,646,55.0,7.46,16000,1180,3480,4000,272,43.8,346,542,52.4,1160,4790,340,340,0.849,C,4000,C,519,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
610UB125 (GR350),125,612,229,19.6,11.9,14.0,572,48.1,5.54,16000,986,3230,3680,249,39.3,343,536,49.6,1560,3450,340,340,0.916,C,3680,C,515,90,110,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
610UB113 (GR350),113,607,228,17.3,11.2,14.0,572,51.1,6.27,14500,875,2880,3290,246,34.3,300,469,48.7,1140,2980,340,340,0.891,C,3290,C,451,90,110,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
610UB101 (GR350),101,602,228,14.8,10.6,14.0,572,54.0,7.34,13000,761,2530,2900,242,29.3,257,402,47.5,790,2530,340,360,0.867,C,2900,C,386,90,110,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
530UB92.4 (GR350),92.4,533,209,15.6,10.2,14.0,502,49.2,6.37,11800,554,2080,2370,217,23.8,228,355,44.9,775,1590,340,360,0.907,C,2370,C,342,90,100,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
530UB82.0 (GR350),82.0,528,209,13.2,9.6,14.0,502,52.3,7.55,10500,477,1810,2070,213,20.1,193,301,43.8,526,1330,340,360,0.880,C,2070,C,289,90,100,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
460UB82.1 (GR350),82.1,460,191,16.0,9.9,11.4,428,43.3,5.66,10500,372,1610,1840,188,18.6,195,303,42.2,701,919,340,360,0.956,C,1840,C,292,75,90,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
460UB74.6 (GR350),74.6,457,190,14.5,9.1,11.4,428,47.1,6.24,9520,335,1460,1660,188,16.6,175,271,41.8,530,815,340,360,0.926,C,1660,C,262,75,90,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
460UB67.1 (GR350),67.1,454,190,12.7,8.5,11.4,428,50.4,7.15,8580,296,1300,1480,186,14.5,153,238,41.2,378,708,340,360,0.901,C,1480,C,230,75,90,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
410UB59.7 (GR350),59.7,406,178,12.8,7.8,11.4,381,48.8,6.65,7640,216,1060,1200,168,12.1,135,209,39.7,337,467,340,360,0.918,C,1200,C,203,75,90,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
410UB53.7 (GR350),53.7,403,178,10.9,7.6,11.4,381,50.1,7.82,6890,188,933,1060,165,10.3,115,179,38.6,234,394,360,360,0.894,N,1050,N,172,75,90,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
360UB56.7 (GR350),56.7,359,172,13.0,8.0,11.4,333,41.6,6.31,7240,161,899,1010,149,11.0,128,198,39.0,338,330,340,360,0.974,C,1010,C,193,75,90,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
360UB50.7 (GR350),50.7,356,171,11.5,7.3,11.4,333,45.6,7.12,6470,142,798,897,148,9.60,112,173,38.5,241,284,340,360,0.943,C,897,C,168,75,90,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
360UB44.7 (GR350),44.7,352,171,9.7,6.9,11.4,333,48.2,8.46,5720,121,689,777,146,8.10,94.7,146,37.6,161,237,360,360,0.911,N,762,N,139,75,90,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310UB46.2 (GR350),46.2,307,166,11.8,6.7,11.4,284,42.3,6.75,5930,100,654,729,130,9.01,109,166,39.0,233,197,340,360,0.972,C,729,C,163,65,75,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310UB40.4 (GR350),40.4,304,165,10.2,6.1,11.4,284,46.5,7.79,5210,86.4,569,633,129,7.65,92.7,142,38.3,157,165,360,360,0.936,N,629,N,138,65,75,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
310UB32.0 (GR350),32.0,298,149,8.0,5.5,13.0,282,51.3,8.97,4080,63.2,424,475,124,4.42,59.3,91.8,32.9,86.5,92.9,360,360,0.898,N,462,N,85.7,65,75,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250UB37.3 (GR350),37.3,256,146,10.9,6.4,8.9,234,36.6,6.40,4750,55.7,435,486,108,5.66,77.5,119,34.5,158,85.2,360,360,1.000,C,486,C,116,65,75,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250UB31.4 (GR350),31.4,252,146,8.6,6.1,8.9,234,38.4,8.13,4010,44.5,354,397,105,4.47,61.2,94.2,33.4,89.3,65.9,360,360,0.991,N,392,N,90.3,65,75,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
250UB25.7 (GR350),25.7,248,124,8.0,5.0,12.0,232,46.4,7.44,3270,35.4,285,319,104,2.55,41.1,63.6,27.9,67.4,36.7,360,360,0.932,C,319,C,61.7,50,65,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200UB29.8 (GR350),29.8,207,134,9.6,6.3,8.9,188,29.8,6.65,3820,29.1,281,316,87.3,3.86,57.5,88.4,31.8,105,37.6,360,360,1.000,C,316,C,86.3,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200UB25.4 (GR350),25.4,203,133,7.8,5.8,8.9,188,32.3,8.15,3230,23.6,232,260,85.4,3.06,46.1,70.9,30.8,62.7,29.2,360,360,1.000,N,257,N,68.0,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200UB22.3 (GR350),22.3,202,133,7.0,5.0,8.9,188,37.5,9.14,2870,21.0,208,231,85.5,2.75,41.3,63.4,31.0,45.0,26.0,360,360,1.000,N,225,N,59.4,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200UB18.2 (GR350),18.2,198,99,7.0,4.5,11.0,184,40.9,6.75,2320,15.8,160,180,82.6,1.14,23.0,35.7,22.1,38.6,10.4,360,360,0.970,C,180,C,34.4,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
180UB22.2 (GR350),22.2,179,90,10.0,6.0,8.9,159,26.5,4.20,2820,15.3,171,195,73.6,1.22,27.1,42.3,20.8,81.6,8.71,360,360,1.000,C,195,C,40.7,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
180UB18.1 (GR350),18.1,175,90,8.0,5.0,8.9,159,31.8,5.31,2300,12.1,139,157,72.6,0.975,21.7,33.7,20.6,44.8,6.80,360,360,1.000,C,157,C,32.5,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
180UB16.1 (GR350),16.1,173,90,7.0,4.5,8.9,159,35.3,6.11,2040,10.6,123,138,72.0,0.853,19.0,29.4,20.4,31.5,5.88,360,360,1.000,C,138,C,28.4,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150UB18.0 (GR350),18.0,155,75,9.5,6.0,8.0,136,22.7,3.63,2300,9.05,117,135,62.8,0.672,17.9,28.2,17.1,60.5,3.56,360,360,1.000,C,135,C,26.9,-,-,-,-,0,480,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
