Description,Weight,d,bf,tf,tw,r1,d1,tw,2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,flange,web,kf,"C,N,S",Zex,"C,N,S",Zey,Doubler,Stiffener,-,-,?b,Fu,-,-,-,-,-,-,-,Taper,-,-,-,-,-,Residual,-,Type,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,kg/m,mm,mm,mm,mm,mm,mm,mm,mm,mm²,x10? mm?,x10³ mm³,x10³ mm³,mm,x10? mm?,x10³ mm³,x10³ mm³,mm,x10³ mm?,x10? mm?,MPa,MPa,-,X,x10³ mm³,Y,x10³ mm³,mm,mm,-,-,-,MPa,-,-,-,-,-,-,-,Angle,-,-,-,-,-,Stress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
610UB125 (GR300),125,612,229,19.6,11.9,14.0,572,48.1,5.54,16000,986,3230,3680,249,39.3,343,536,49.6,1560,3450,280,300,0.950,C,3680,C,515,90,110,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
610UB113 (GR300),113,607,228,17.3,11.2,14.0,572,51.1,6.27,14500,875,2880,3290,246,34.3,300,469,48.7,1140,2980,280,300,0.926,C,3290,C,451,90,110,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
610UB101 (GR300),101,602,228,14.8,10.6,14.0,572,54.0,7.34,13000,761,2530,2900,242,29.3,257,402,47.5,790,2530,300,320,0.888,C,2900,C,386,90,110,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
530UB92.4 (GR300),92.4,533,209,15.6,10.2,14.0,502,49.2,6.37,11800,554,2080,2370,217,23.8,228,355,44.9,775,1590,300,320,0.928,C,2370,C,342,90,100,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
530UB82.0 (GR300),82.0,528,209,13.2,9.6,14.0,502,52.3,7.55,10500,477,1810,2070,213,20.1,193,301,43.8,526,1330,300,320,0.902,C,2070,C,289,90,100,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
460UB82.1 (GR300),82.1,460,191,16.0,9.9,11.4,428,43.3,5.66,10500,372,1610,1840,188,18.6,195,303,42.2,701,919,300,320,0.979,C,1840,C,292,75,90,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
460UB74.6 (GR300),74.6,457,190,14.5,9.1,11.4,428,47.1,6.24,9520,335,1460,1660,188,16.6,175,271,41.8,530,815,300,320,0.948,C,1660,C,262,75,90,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
460UB67.1 (GR300),67.1,454,190,12.7,8.5,11.4,428,50.4,7.15,8580,296,1300,1480,186,14.5,153,238,41.2,378,708,300,320,0.922,C,1480,C,230,75,90,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
410UB59.7 (GR300),59.7,406,178,12.8,7.8,11.4,381,48.8,6.65,7640,216,1060,1200,168,12.1,135,209,39.7,337,467,300,320,0.938,C,1200,C,203,75,90,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
410UB53.7 (GR300),53.7,403,178,10.9,7.6,11.4,381,50.1,7.82,6890,188,933,1060,165,10.3,115,179,38.6,234,394,320,320,0.913,C,1060,C,173,75,90,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
360UB56.7 (GR300),56.7,359,172,13.0,8.0,11.4,333,41.6,6.31,7240,161,899,1010,149,11.0,128,198,39.0,338,330,300,320,0.996,C,1010,C,193,75,90,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
360UB50.7 (GR300),50.7,356,171,11.5,7.3,11.4,333,45.6,7.12,6470,142,798,897,148,9.60,112,173,38.5,241,284,300,320,0.963,C,897,C,168,75,90,-,-,0,440,-,-,-,-,-,-,-,-,-,-,-,-,-,HR,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
